uri;count;total;min;average;max;standarddeviation;persecond;errors
"GetProjectTimelineSummary";1;13493;13493;13493;13493;0;0;0
"GetBlockList";1;1736;1736;1736;1736;0;0;0
"GetProjectAddresses";1;949;949;949;949;0;0;0
"ChangeAdmin";1;906;906;906;906;0;0;0
"GetProjectTeamInfo";1;3810;3810;3810;3810;0;0;0
"GetProjectClarificationList";1;1830;1830;1830;1830;0;0;0
"GetCirList";1;2451;2451;2451;2451;0;0;0
"AddProjectTeamMember";1;1088;1088;1088;1088;0;0;0
"CreateCir";1;669;669;669;669;0;0;0
"GetPrototypeList";1;19959;19959;19959;19959;0;0;0
"GetUserBpNumber";1;730;730;730;730;0;0;0
"GetUserDetails";1;3577;3577;3577;3577;0;0;0
"GetCampusProjectList";1;5883;5883;5883;5883;0;0;0
"GetUserRole";1;814;814;814;814;0;0;0
"GetProjectsForPrototypeOrBlock";1;2922;2922;2922;2922;0;0;0
"GetCampusList";1;10353;10353;10353;10353;0;0;0
"ChangeProjectTimeline";1;981;981;981;981;0;0;0
"GetPortfolioList";1;6739;6739;6739;6739;0;0;0
"RemoveProjectTeamMember";1;1094;1094;1094;1094;0;0;0
"GetMasterList";1;18011;18011;18011;18011;0;0;0
"ReplyProjectClarification";1;739;739;739;739;0;0;0
"GetProjectCertificationDetails";1;1004;1004;1004;1004;0;0;0
"Project Payment";1;1303;1303;1303;1303;0;0;0
"ChangeProjectTeam ";1;1101;1101;1101;1101;0;0;0
"GetProjectListBySel";1;3378216;3378216;3378216;3378216;0;0;0
"UpdateProject";1;970;970;970;970;0;0;0
"GetClarificationDetail";1;1809;1809;1809;1809;0;0;0
"GetAliasDetails";1;4142;4142;4142;4142;0;0;0
"GetProjectDetails";1;11438;11438;11438;11438;0;0;0
